iter	Passed	Remaining
534	36628	511088
535	36704	511121
536	36776	511100
537	36847	511068
538	36918	511036
539	36985	510948
540	37052	510857
541	37123	510826
542	37193	510772
543	37259	510674
544	37324	510560
545	37388	510432
546	37456	510359
547	37524	510279
548	37594	510223
549	37662	510160
550	37727	510035
551	37795	509962
552	37862	509873
553	37930	509808
554	38003	509794
555	38070	509702
556	38137	509618
557	38208	509590
558	38275	509492
559	38346	509461
560	38413	509370
561	38484	509332
562	38551	509247
563	38615	509120
564	38684	509066
565	38749	508944
566	38816	508857
567	38882	508754
568	38946	508636
569	39016	508584
570	39089	508571
571	39158	508506
572	39222	508390
573	39294	508357
574	39363	508306
575	39429	508199
576	39496	508110
577	39563	508027
578	39629	507925
579	39703	507929
580	39767	507805
581	39836	507740
582	39901	507625
583	39966	507523
584	40045	507580
585	40132	507756
586	40205	507745
587	40281	507771
588	40356	507774
589	40422	507679
590	40484	507531
591	40551	507441
592	40619	507362
593	40685	507266
594	40754	507201
595	40823	507148
596	40891	507069
597	40964	507055
598	41033	506995
599	41105	506962
600	41176	506935
601	41246	506877
602	41315	506812
603	41381	506719
604	41449	506643
605	41514	506531
606	41581	506448
607	41645	506321
608	41715	506267
609	41785	506218
610	41848	506091
611	41917	506024
612	41987	505972
613	42056	505914
614	42124	505832
615	42193	505775
616	42259	505680
617	42331	505648
618	42401	505596
619	42467	505500
620	42538	505460
621	42603	505355
622	42667	505224
623	42730	505101
624	42803	505077
625	42868	504968
626	42934	504874
627	43000	504777
628	43074	504767
629	43145	504734
630	43210	504628
631	43279	504561
632	43350	504527
633	43419	504466
634	43484	504357
635	43555	504316
636	43624	504246
637	43686	504111
638	43754	504037
639	43824	503978
640	43892	503908
641	43956	503790
642	44027	503749
643	44092	503635
644	44158	503540
645	44230	503516
646	44301	503478
647	44369	503399
648	44433	503287
649	44499	503192
650	44566	503103
651	44633	503014
652	44700	502931
653	44771	502895
654	44842	502847
655	44907	502746
656	44975	502675
657	45050	502675
658	45125	502677
659	45196	502644
660	45264	502568
661	45329	502464
662	45400	502416
663	45469	502360
664	45538	502298
665	45602	502176
666	45673	502137
667	45746	502112
668	45809	501983
669	45875	501888
670	45941	501794
671	46010	501734
672	46084	501721
673	46156	501700
674	46224	501617
675	46296	501594
676	46368	501555
677	46454	501683
678	46537	501768
679	46605	501689
680	46675	501636
681	46747	501613
682	46819	501583
683	46889	501521
684	46958	501457
685	47029	501420
686	47100	501381
687	47174	501363
688	47243	501304
689	47310	501221
690	47387	501240
691	47454	501148
692	47520	501055
693	47585	500952
694	47650	500849
695	47725	500844
696	47793	500767
697	47865	500739
698	47940	500734
699	48007	500645
700	48078	500602
701	48141	500483
702	48207	500384
703	48279	500350
704	48349	500295
705	48420	500253
706	48489	500190
707	48555	500090
708	48622	500007
709	48731	500353
710	48823	500524
711	48892	500466
712	48962	500409
713	49031	500342
714	49102	500297
715	49172	500238
716	49244	500204
717	49310	500105
718	49374	499990
719	49444	499938
720	49512	499866
721	49585	499838
722	49654	499773
723	49736	499837
724	49824	499964
725	49903	499999
726	49971	499920
727	50041	499869
728	50119	499887
729	50202	499958
730	50275	499936
731	50368	500107
732	50450	500164
733	50534	500251
734	50612	500276
735	50696	500350
736	50766	500293
737	50837	500248
738	50904	500158
739	50986	500222
740	51057	500169
741	51128	500126
742	51221	500288
743	51303	500349
744	51375	500310
745	51458	500379
746	51527	500303
747	51599	500262
748	51673	500250
749	51749	500247
750	51827	500261
751	51900	500227
752	51969	500165
753	52048	500192
754	52122	500169
755	52196	500149
756	52274	500162
757	52355	500209
758	52429	500187
759	52500	500131
760	52578	500148
761	52640	500014
762	52704	499901
763	52768	499785
764	52842	499762
765	52930	499865
766	53004	499844
767	53089	499926
768	53165	499923
769	53236	499868
770	53306	499804
771	53390	499881
772	53464	499850
773	53529	499746
774	53601	499706
775	53686	499783
776	53760	499753
777	53835	499744
778	53911	499736
779	54006	499907
780	54103	500098
781	54201	500285
782	54272	500238
783	54344	500195
784	54416	500142
785	54515	500348
786	54594	500366
787	54660	500268
788	54733	500228
789	54819	500314
790	54900	500346
791	54972	500307
792	55041	500231
793	55120	500252
794	55196	500236
795	55263	500146
796	55336	500107
797	55405	500034
798	55472	499949
799	55541	499871
800	55634	500014
801	55718	500079
802	55799	500114
803	55896	500288
804	56021	500709
805	56108	500804
806	56184	500786
807	56265	500820
808	56358	500961
809	56444	501029
810	56516	500980
811	56588	500930
812	56661	500891
813	56729	500811
814	56795	500706
815	56864	500628
816	56931	500533
817	56998	500440
818	57073	500425
819	57141	500336
820	57206	500222
821	57278	500178
822	57351	500132
823	57420	500059
824	57490	499988
825	57558	499909
826	57625	499812
827	57695	499749
828	57773	499752
829	57849	499736
830	57918	499657
831	58004	499731
832	58123	500082
833	58248	500488
834	58361	500787
835	58478	501127
836	58578	501310
837	58670	501426
838	58770	501611
839	58862	501730
840	58953	501843
841	59046	501962
842	59126	501982
843	59210	502026
844	59301	502135
845	59388	502204
846	59481	502327
847	59562	502350
848	59642	502358
849	59715	502315
850	59797	502343
851	59891	502467
852	59975	502517
853	60058	502552
854	60144	502612
855	60213	502530
856	60281	502441
857	60356	502410
858	60426	502337
859	60497	502268
860	60566	502190
861	60631	502073
862	60701	502001
863	60771	501928
864	60839	501836
865	60913	501794
866	60986	501747
867	61054	501657
868	61123	501576
869	61190	501477
870	61257	501384
871	61321	501262
872	61388	501167
873	61458	501092
874	61528	501017
875	61596	500932
876	61661	500813
877	61733	500758
878	61799	500650
879	61872	500604
880	61941	500521
881	62011	500450
882	62080	500373
883	62150	500298
884	62218	500209
885	62286	500122
886	62358	500065
887	62424	499958
888	62492	499873
889	62569	499850
890	62637	499763
891	62706	499686
892	62773	499583
893	62843	499517
894	62918	499481
895	62983	499370
896	63055	499313
897	63120	499201
898	63188	499111
899	63253	499000
900	63323	498927
901	63396	498875
902	63464	498793
903	63539	498757
904	63606	498663
905	63678	498606
906	63749	498542
907	63814	498427
908	63881	498331
909	63951	498261
910	64029	498246
911	64108	498242
912	64181	498199
913	64257	498168
914	64334	498149
915	64408	498107
916	64487	498110
917	64554	498012
918	64626	497951
919	64694	497869
920	64764	497794
921	64832	497704
922	64902	497629
923	64977	497599
924	65053	497571
925	65120	497476
926	65194	497432
927	65263	497350
928	65330	497260
929	65400	497187
930	65467	497090
931	65533	496986
932	65600	496889
933	65664	496769
934	65730	496666
935	65799	496589
936	65869	496519
937	65939	496442
938	66002	496315
939	66070	496230
940	66138	496141
941	66207	496065
942	66281	496020
943	66349	495932
944	66419	495859
945	66489	495790
946	66556	495692
947	66623	495597
948	66688	495491
949	66755	495399
950	66823	495310
951	66889	495204
952	66958	495125
953	67022	495010
954	67098	494979
955	67161	494862
956	67230	494776
957	67301	494716
958	67369	494624
959	67445	494602
960	67520	494568
961	67595	494529
962	67672	494508
963	67739	494414
964	67812	494364
965	67890	494353
966	67980	494422
967	68062	494438
968	68142	494440
969	68216	494393
970	68300	494425
971	68397	494543
972	68484	494592
973	68564	494590
974	68635	494530
975	68724	494590
976	68817	494682
977	68913	494797
978	69009	494906
979	69115	495093
980	69201	495134
981	69276	495090
982	69353	495066
983	69422	494988
984	69494	494924
985	69567	494876
986	69640	494822
987	69721	494823
988	69795	494781
989	69869	494734
990	69964	494836
991	70058	494932
992	70130	494865
993	70210	494864
994	70283	494807
995	70354	494745
996	70427	494687
997	70501	494643
998	70569	494553
999	70644	494511
1000	70723	494497
1001	70806	494515
1002	70898	494593
1003	70999	494732
1004	71096	494848
1005	71181	494876
1006	71270	494930
1007	71346	494898
1008	71425	494881
1009	71506	494884
1010	71577	494813
1011	71657	494802
1012	71738	494804
1013	71816	494786
1014	71902	494819
1015	71978	494778
1016	72052	494733
1017	72122	494653
